,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,ABIDE_ACPI_1,SVC,com,94.0,94.0,94.0,94.6,94.0,0.1
1,ABIDE_ACPI_1,SVC,com,82.0,82.0,82.0,84.7,81.6,0.1
2,ABIDE_ACPI_1,SVC,com,92.0,92.0,92.0,93.1,91.9,0.1
3,ABIDE_ACPI_1,SVC,com,90.0,90.0,90.0,91.7,89.9,0.1
4,ABIDE_ACPI_1,SVC,com,86.0,86.0,86.0,89.1,85.7,0.1
5,ABIDE_ACPI_1,SVC,com,96.0,96.0,96.0,96.3,96.0,0.2
6,ABIDE_ACPI_1,SVC,com,84.0,84.0,84.0,86.1,83.8,0.2
7,ABIDE_ACPI_1,SVC,com,92.0,92.0,92.0,93.1,91.9,0.2
8,ABIDE_ACPI_1,SVC,com,90.0,90.0,90.0,91.7,89.9,0.2
9,ABIDE_ACPI_1,SVC,com,88.0,88.0,88.0,90.3,87.8,0.2
10,ABIDE_ACPI_1,SVC,com,98.0,98.0,98.0,98.1,98.0,0.5
11,ABIDE_ACPI_1,SVC,com,86.0,86.0,86.0,87.5,85.9,0.5
12,ABIDE_ACPI_1,SVC,com,94.0,94.0,94.0,94.6,94.0,0.5
13,ABIDE_ACPI_1,SVC,com,96.0,96.0,96.0,96.3,96.0,0.5
14,ABIDE_ACPI_1,SVC,com,94.0,94.0,94.0,94.6,94.0,0.5
15,ABIDE_ACPI_1,SVC,com,100.0,100.0,100.0,100.0,100.0,1.0
16,ABIDE_ACPI_1,SVC,com,86.0,86.0,86.0,87.5,85.9,1.0
17,ABIDE_ACPI_1,SVC,com,100.0,100.0,100.0,100.0,100.0,1.0
18,ABIDE_ACPI_1,SVC,com,96.0,96.0,96.0,96.3,96.0,1.0
19,ABIDE_ACPI_1,SVC,com,96.0,96.0,96.0,96.3,96.0,1.0
20,ABIDE_ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,0.1
21,ABIDE_ACPI_2,SVC,com,98.0,98.1,98.1,98.1,98.0,0.1
22,ABIDE_ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,0.1
23,ABIDE_ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,0.1
24,ABIDE_ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,0.1
25,ABIDE_ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,0.2
26,ABIDE_ACPI_2,SVC,com,98.0,98.1,98.1,98.1,98.0,0.2
27,ABIDE_ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,0.2
28,ABIDE_ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,0.2
