,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,ACPI_0,SVC,com,88.0,88.5,88.5,90.0,87.9,0.1
1,ACPI_0,SVC,com,80.0,80.8,80.8,85.3,79.5,0.1
2,ACPI_0,SVC,com,80.0,79.5,79.5,81.9,79.5,0.1
3,ACPI_0,SVC,com,88.0,87.5,87.5,90.6,87.7,0.1
4,ACPI_0,SVC,com,83.3,83.3,83.3,87.5,82.9,0.1
5,ACPI_0,SVC,com,76.0,76.9,76.9,83.3,75.0,0.2
6,ACPI_0,SVC,com,80.0,80.8,80.8,85.3,79.5,0.2
7,ACPI_0,SVC,com,80.0,79.5,79.5,81.9,79.5,0.2
8,ACPI_0,SVC,com,92.0,91.7,91.7,93.3,91.9,0.2
9,ACPI_0,SVC,com,83.3,83.3,83.3,87.5,82.9,0.2
10,ACPI_0,SVC,com,92.0,92.3,92.3,92.9,92.0,0.5
11,ACPI_0,SVC,com,80.0,80.8,80.8,85.3,79.5,0.5
12,ACPI_0,SVC,com,92.0,91.7,91.7,93.3,91.9,0.5
13,ACPI_0,SVC,com,96.0,95.8,95.8,96.4,96.0,0.5
14,ACPI_0,SVC,com,83.3,83.3,83.3,87.5,82.9,0.5
15,ACPI_0,SVC,com,96.0,96.2,96.2,96.2,96.0,1.0
16,ACPI_0,SVC,com,88.0,88.5,88.5,90.0,87.9,1.0
17,ACPI_0,SVC,com,100.0,100.0,100.0,100.0,100.0,1.0
18,ACPI_0,SVC,com,92.0,91.7,91.7,93.3,91.9,1.0
19,ACPI_0,SVC,com,83.3,83.3,83.3,87.5,82.9,1.0
20,ACPI_1,SVC,com,88.0,88.5,88.5,90.0,87.9,0.1
21,ACPI_1,SVC,com,76.0,76.6,76.6,78.8,75.6,0.1
22,ACPI_1,SVC,com,84.0,83.3,83.3,88.2,83.3,0.1
23,ACPI_1,SVC,com,92.0,91.7,91.7,93.3,91.9,0.1
24,ACPI_1,SVC,com,83.3,83.3,83.3,87.5,82.9,0.1
25,ACPI_1,SVC,com,84.0,84.6,84.6,87.5,83.8,0.2
26,ACPI_1,SVC,com,76.0,76.6,76.6,78.8,75.6,0.2
27,ACPI_1,SVC,com,84.0,83.3,83.3,88.2,83.3,0.2
28,ACPI_1,SVC,com,92.0,91.7,91.7,93.3,91.9,0.2
29,ACPI_1,SVC,com,83.3,83.3,83.3,87.5,82.9,0.2
30,ACPI_1,SVC,com,92.0,92.3,92.3,92.9,92.0,0.5
31,ACPI_1,SVC,com,80.0,80.8,80.8,85.3,79.5,0.5
32,ACPI_1,SVC,com,92.0,91.7,91.7,93.3,91.9,0.5
33,ACPI_1,SVC,com,96.0,95.8,95.8,96.4,96.0,0.5
34,ACPI_1,SVC,com,83.3,83.3,83.3,87.5,82.9,0.5
35,ACPI_1,SVC,com,96.0,96.2,96.2,96.2,96.0,1.0
36,ACPI_1,SVC,com,88.0,88.5,88.5,90.0,87.9,1.0
37,ACPI_1,SVC,com,100.0,100.0,100.0,100.0,100.0,1.0
38,ACPI_1,SVC,com,92.0,91.7,91.7,93.3,91.9,1.0
39,ACPI_1,SVC,com,83.3,83.3,83.3,87.5,82.9,1.0
40,ACPI_2,SVC,com,84.0,84.6,84.6,87.5,83.8,0.1
41,ACPI_2,SVC,com,84.0,84.6,84.6,87.5,83.8,0.1
42,ACPI_2,SVC,com,84.0,83.3,83.3,88.2,83.3,0.1
43,ACPI_2,SVC,com,88.0,87.8,87.8,88.3,87.9,0.1
44,ACPI_2,SVC,com,83.3,83.3,83.3,87.5,82.9,0.1
45,ACPI_2,SVC,com,84.0,84.6,84.6,87.5,83.8,0.2
46,ACPI_2,SVC,com,84.0,84.6,84.6,87.5,83.8,0.2
47,ACPI_2,SVC,com,84.0,83.3,83.3,88.2,83.3,0.2
48,ACPI_2,SVC,com,88.0,87.8,87.8,88.3,87.9,0.2
49,ACPI_2,SVC,com,83.3,83.3,83.3,87.5,82.9,0.2
50,ACPI_2,SVC,com,92.0,92.3,92.3,92.9,92.0,0.5
51,ACPI_2,SVC,com,88.0,88.5,88.5,90.0,87.9,0.5
52,ACPI_2,SVC,com,96.0,95.8,95.8,96.4,96.0,0.5
53,ACPI_2,SVC,com,96.0,95.8,95.8,96.4,96.0,0.5
54,ACPI_2,SVC,com,83.3,83.3,83.3,87.5,82.9,0.5
55,ACPI_2,SVC,com,96.0,96.2,96.2,96.2,96.0,1.0
56,ACPI_2,SVC,com,88.0,88.5,88.5,90.0,87.9,1.0
57,ACPI_2,SVC,com,100.0,100.0,100.0,100.0,100.0,1.0
58,ACPI_2,SVC,com,92.0,91.7,91.7,93.3,91.9,1.0
59,ACPI_2,SVC,com,83.3,83.3,83.3,87.5,82.9,1.0
60,ACPI_3,SVC,com,84.0,84.6,84.6,87.5,83.8,0.1
61,ACPI_3,SVC,com,80.0,80.8,80.8,85.3,79.5,0.1
62,ACPI_3,SVC,com,84.0,83.3,83.3,88.2,83.3,0.1
63,ACPI_3,SVC,com,88.0,87.5,87.5,90.6,87.7,0.1
64,ACPI_3,SVC,com,83.3,83.3,83.3,87.5,82.9,0.1
65,ACPI_3,SVC,com,84.0,84.6,84.6,87.5,83.8,0.2
66,ACPI_3,SVC,com,80.0,80.8,80.8,85.3,79.5,0.2
67,ACPI_3,SVC,com,84.0,83.3,83.3,88.2,83.3,0.2
68,ACPI_3,SVC,com,88.0,87.5,87.5,90.6,87.7,0.2
69,ACPI_3,SVC,com,83.3,83.3,83.3,87.5,82.9,0.2
70,ACPI_3,SVC,com,88.0,88.5,88.5,90.0,87.9,0.5
71,ACPI_3,SVC,com,80.0,80.8,80.8,85.3,79.5,0.5
72,ACPI_3,SVC,com,96.0,95.8,95.8,96.4,96.0,0.5
73,ACPI_3,SVC,com,96.0,95.8,95.8,96.4,96.0,0.5
74,ACPI_3,SVC,com,83.3,83.3,83.3,87.5,82.9,0.5
75,ACPI_3,SVC,com,96.0,96.2,96.2,96.2,96.0,1.0
76,ACPI_3,SVC,com,88.0,88.5,88.5,90.0,87.9,1.0
77,ACPI_3,SVC,com,100.0,100.0,100.0,100.0,100.0,1.0
78,ACPI_3,SVC,com,92.0,91.7,91.7,93.3,91.9,1.0
79,ACPI_3,SVC,com,83.3,83.3,83.3,87.5,82.9,1.0
80,ACPI_4,SVC,com,80.0,80.4,80.4,81.7,79.9,0.1
81,ACPI_4,SVC,com,80.0,80.8,80.8,85.3,79.5,0.1
82,ACPI_4,SVC,com,84.0,83.3,83.3,88.2,83.3,0.1
83,ACPI_4,SVC,com,88.0,87.5,87.5,90.6,87.7,0.1
84,ACPI_4,SVC,com,83.3,83.3,83.3,87.5,82.9,0.1
85,ACPI_4,SVC,com,80.0,80.4,80.4,81.7,79.9,0.2
