,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,MDD_ABIDE_1,SVC,spec,45.1,45.1,45.1,45.1,45.1,0.1
1,MDD_ABIDE_1,SVC,spec,51.3,51.3,51.3,51.3,51.2,0.1
2,MDD_ABIDE_1,SVC,spec,47.9,47.9,47.9,47.9,47.9,0.1
3,MDD_ABIDE_1,SVC,spec,47.4,47.4,47.4,47.4,47.4,0.1
4,MDD_ABIDE_1,SVC,spec,51.0,51.0,51.0,51.0,51.0,0.1
5,MDD_ABIDE_1,SVC,com,49.7,50.0,50.0,49.9,34.9,0.1
6,MDD_ABIDE_1,SVC,com,49.7,49.7,49.7,49.7,49.7,0.1
7,MDD_ABIDE_1,SVC,com,54.6,54.6,54.6,54.7,54.6,0.1
8,MDD_ABIDE_1,SVC,com,48.5,48.5,48.5,34.6,33.5,0.1
9,MDD_ABIDE_1,SVC,com,49.0,49.0,49.0,48.9,47.8,0.1
10,MDD_ABIDE_1,SVC,spec,49.2,49.2,49.2,49.2,49.2,0.2
11,MDD_ABIDE_1,SVC,spec,47.7,47.7,47.7,47.7,47.6,0.2
12,MDD_ABIDE_1,SVC,spec,52.6,52.6,52.6,52.6,52.6,0.2
13,MDD_ABIDE_1,SVC,spec,49.5,49.5,49.5,49.5,49.4,0.2
14,MDD_ABIDE_1,SVC,spec,44.8,44.8,44.8,44.8,44.8,0.2
15,MDD_ABIDE_1,SVC,com,49.2,49.5,49.5,44.7,34.7,0.2
16,MDD_ABIDE_1,SVC,com,54.9,54.9,54.9,55.0,54.7,0.2
17,MDD_ABIDE_1,SVC,com,46.9,46.9,46.9,46.9,46.8,0.2
18,MDD_ABIDE_1,SVC,com,50.5,50.5,50.5,51.0,43.6,0.2
19,MDD_ABIDE_1,SVC,com,49.0,49.0,49.0,48.9,47.8,0.2
20,MDD_ABIDE_1,SVC,spec,55.4,55.4,55.4,55.4,55.4,0.5
21,MDD_ABIDE_1,SVC,spec,49.7,49.8,49.8,49.8,49.7,0.5
22,MDD_ABIDE_1,SVC,spec,47.9,47.9,47.9,47.9,47.9,0.5
23,MDD_ABIDE_1,SVC,spec,49.5,49.5,49.5,49.5,49.3,0.5
24,MDD_ABIDE_1,SVC,spec,48.5,48.5,48.5,48.4,48.4,0.5
25,MDD_ABIDE_1,SVC,com,48.7,48.6,48.6,48.3,46.3,0.5
26,MDD_ABIDE_1,SVC,com,50.8,50.8,50.8,50.8,50.7,0.5
27,MDD_ABIDE_1,SVC,com,50.0,50.0,50.0,50.0,49.6,0.5
28,MDD_ABIDE_1,SVC,com,53.1,53.1,53.1,53.3,52.3,0.5
29,MDD_ABIDE_1,SVC,com,50.0,50.0,50.0,50.0,49.0,0.5
30,MDD_ABIDE_1,SVC,spec,51.8,51.8,51.8,51.8,51.8,1.0
31,MDD_ABIDE_1,SVC,spec,51.3,51.3,51.3,51.3,51.3,1.0
32,MDD_ABIDE_1,SVC,spec,50.5,50.5,50.5,50.5,50.5,1.0
33,MDD_ABIDE_1,SVC,spec,47.9,47.9,47.9,47.9,47.9,1.0
34,MDD_ABIDE_1,SVC,spec,55.2,55.2,55.2,55.2,55.1,1.0
35,MDD_ABIDE_1,SVC,com,52.3,52.2,52.2,52.4,51.4,1.0
36,MDD_ABIDE_1,SVC,com,48.7,48.7,48.7,48.6,48.4,1.0
37,MDD_ABIDE_1,SVC,com,50.0,50.0,50.0,50.0,48.9,1.0
38,MDD_ABIDE_1,SVC,com,49.5,49.5,49.5,49.5,49.4,1.0
39,MDD_ABIDE_1,SVC,com,47.9,47.9,47.9,47.8,47.1,1.0
40,MDD_ABIDE_2,SVC,spec,49.7,49.7,49.7,49.7,49.7,0.1
41,MDD_ABIDE_2,SVC,spec,48.7,48.7,48.7,48.7,48.7,0.1
42,MDD_ABIDE_2,SVC,spec,48.7,48.7,48.7,48.7,48.7,0.1
43,MDD_ABIDE_2,SVC,spec,48.5,48.5,48.5,48.5,48.4,0.1
44,MDD_ABIDE_2,SVC,spec,54.1,54.1,54.1,54.1,54.1,0.1
45,MDD_ABIDE_2,SVC,com,46.2,46.0,46.0,45.3,43.8,0.1
46,MDD_ABIDE_2,SVC,com,53.3,53.4,53.4,54.1,51.5,0.1
47,MDD_ABIDE_2,SVC,com,47.2,47.3,47.3,46.7,44.6,0.1
48,MDD_ABIDE_2,SVC,com,49.0,49.0,49.0,48.7,45.8,0.1
49,MDD_ABIDE_2,SVC,com,51.5,51.5,51.5,51.9,49.2,0.1
50,MDD_ABIDE_2,SVC,spec,53.3,53.3,53.3,53.3,53.3,0.2
51,MDD_ABIDE_2,SVC,spec,49.7,49.8,49.8,49.8,49.7,0.2
52,MDD_ABIDE_2,SVC,spec,52.3,52.3,52.3,52.3,52.3,0.2
53,MDD_ABIDE_2,SVC,spec,45.9,45.9,45.9,45.9,45.9,0.2
54,MDD_ABIDE_2,SVC,spec,52.1,52.1,52.1,52.1,52.1,0.2
55,MDD_ABIDE_2,SVC,com,50.3,50.2,50.2,50.2,48.1,0.2
56,MDD_ABIDE_2,SVC,com,47.2,47.3,47.3,46.8,45.1,0.2
57,MDD_ABIDE_2,SVC,com,45.6,45.7,45.7,45.4,44.9,0.2
58,MDD_ABIDE_2,SVC,com,49.0,49.0,49.0,48.7,46.3,0.2
59,MDD_ABIDE_2,SVC,com,49.5,49.5,49.5,49.4,47.0,0.2
60,MDD_ABIDE_2,SVC,spec,49.2,49.2,49.2,49.2,49.2,0.5
61,MDD_ABIDE_2,SVC,spec,51.8,51.8,51.8,51.8,51.8,0.5
62,MDD_ABIDE_2,SVC,spec,53.8,53.8,53.8,53.8,53.8,0.5
63,MDD_ABIDE_2,SVC,spec,51.5,51.5,51.5,51.5,51.5,0.5
64,MDD_ABIDE_2,SVC,spec,55.7,55.7,55.7,55.7,55.6,0.5
65,MDD_ABIDE_2,SVC,com,49.2,49.3,49.3,49.2,47.6,0.5
66,MDD_ABIDE_2,SVC,com,56.4,56.3,56.3,58.7,53.1,0.5
67,MDD_ABIDE_2,SVC,com,52.8,52.7,52.7,53.3,50.4,0.5
68,MDD_ABIDE_2,SVC,com,44.3,44.3,44.3,42.9,41.3,0.5
69,MDD_ABIDE_2,SVC,com,47.4,47.4,47.4,46.8,44.8,0.5
70,MDD_ABIDE_2,SVC,spec,53.8,53.8,53.8,53.8,53.8,1.0
71,MDD_ABIDE_2,SVC,spec,52.3,52.3,52.3,52.3,52.3,1.0
72,MDD_ABIDE_2,SVC,spec,52.8,52.8,52.8,52.8,52.8,1.0
73,MDD_ABIDE_2,SVC,spec,45.9,45.9,45.9,45.9,45.9,1.0
74,MDD_ABIDE_2,SVC,spec,47.9,47.9,47.9,47.9,47.8,1.0
75,MDD_ABIDE_2,SVC,com,50.3,50.3,50.3,50.4,49.2,1.0
76,MDD_ABIDE_2,SVC,com,50.3,50.2,50.2,50.2,48.7,1.0
77,MDD_ABIDE_2,SVC,com,48.2,48.1,48.1,48.0,47.4,1.0
78,MDD_ABIDE_2,SVC,com,49.0,49.0,49.0,49.0,48.7,1.0
79,MDD_ABIDE_2,SVC,com,52.1,52.1,52.1,52.1,51.8,1.0
80,MDD_ABIDE_3,SVC,spec,54.4,54.3,54.3,54.4,54.2,0.1
81,MDD_ABIDE_3,SVC,spec,50.8,50.8,50.8,50.8,50.7,0.1
82,MDD_ABIDE_3,SVC,spec,52.3,52.3,52.3,52.3,52.3,0.1
83,MDD_ABIDE_3,SVC,spec,50.8,50.8,50.8,50.8,50.8,0.1
84,MDD_ABIDE_3,SVC,spec,48.7,48.7,48.7,48.7,48.7,0.1
85,MDD_ABIDE_3,SVC,com,54.9,54.8,54.8,55.8,52.8,0.1
86,MDD_ABIDE_3,SVC,com,48.7,48.6,48.6,48.4,46.8,0.1
87,MDD_ABIDE_3,SVC,com,54.4,54.2,54.2,55.6,51.4,0.1
88,MDD_ABIDE_3,SVC,com,49.2,49.4,49.4,49.1,45.0,0.1
89,MDD_ABIDE_3,SVC,com,50.8,50.9,50.9,51.2,47.5,0.1
90,MDD_ABIDE_3,SVC,spec,46.7,46.7,46.7,46.6,46.6,0.2
91,MDD_ABIDE_3,SVC,spec,49.2,49.2,49.2,49.2,49.1,0.2
92,MDD_ABIDE_3,SVC,spec,51.8,51.8,51.8,51.8,51.8,0.2
93,MDD_ABIDE_3,SVC,spec,55.4,55.4,55.4,55.4,55.4,0.2
94,MDD_ABIDE_3,SVC,spec,46.2,46.1,46.1,46.1,46.1,0.2
95,MDD_ABIDE_3,SVC,com,43.6,43.5,43.5,42.1,41.0,0.2
96,MDD_ABIDE_3,SVC,com,51.8,51.7,51.7,51.8,51.1,0.2
97,MDD_ABIDE_3,SVC,com,42.6,42.5,42.5,41.1,40.2,0.2
98,MDD_ABIDE_3,SVC,com,53.8,54.0,54.0,56.1,49.5,0.2
99,MDD_ABIDE_3,SVC,com,47.2,47.3,47.3,46.7,44.9,0.2
100,MDD_ABIDE_3,SVC,spec,51.8,51.8,51.8,51.8,51.8,0.5
101,MDD_ABIDE_3,SVC,spec,50.3,50.2,50.2,50.2,50.2,0.5
102,MDD_ABIDE_3,SVC,spec,51.8,51.8,51.8,51.8,51.8,0.5
103,MDD_ABIDE_3,SVC,spec,48.7,48.7,48.7,48.7,48.7,0.5
104,MDD_ABIDE_3,SVC,spec,49.2,49.2,49.2,49.2,49.2,0.5
105,MDD_ABIDE_3,SVC,com,52.8,52.9,52.9,53.3,51.4,0.5
106,MDD_ABIDE_3,SVC,com,51.8,51.9,51.9,52.4,49.3,0.5
107,MDD_ABIDE_3,SVC,com,51.8,51.9,51.9,52.4,49.3,0.5
108,MDD_ABIDE_3,SVC,com,52.8,52.7,52.7,53.3,50.4,0.5
109,MDD_ABIDE_3,SVC,com,49.2,49.1,49.1,48.8,46.0,0.5
110,MDD_ABIDE_3,SVC,spec,51.8,51.8,51.8,51.8,51.8,1.0
111,MDD_ABIDE_3,SVC,spec,52.3,52.3,52.3,52.3,52.3,1.0
112,MDD_ABIDE_3,SVC,spec,51.3,51.3,51.3,51.3,51.3,1.0
113,MDD_ABIDE_3,SVC,spec,53.8,53.9,53.9,53.9,53.8,1.0
114,MDD_ABIDE_3,SVC,spec,55.4,55.4,55.4,55.4,55.4,1.0
115,MDD_ABIDE_3,SVC,com,53.3,53.4,53.4,53.5,52.9,1.0
116,MDD_ABIDE_3,SVC,com,46.2,46.2,46.2,46.0,45.5,1.0
117,MDD_ABIDE_3,SVC,com,51.3,51.3,51.3,51.4,50.7,1.0
118,MDD_ABIDE_3,SVC,com,43.1,43.1,43.1,43.0,42.9,1.0
119,MDD_ABIDE_3,SVC,com,52.3,52.2,52.2,52.4,51.6,1.0
120,MDD_ABIDE_4,SVC,spec,42.1,42.0,42.0,42.0,42.0,0.1
121,MDD_ABIDE_4,SVC,spec,48.7,48.7,48.7,48.7,48.5,0.1
122,MDD_ABIDE_4,SVC,spec,54.4,54.4,54.4,54.4,54.2,0.1
123,MDD_ABIDE_4,SVC,spec,56.4,56.4,56.4,56.4,56.4,0.1
124,MDD_ABIDE_4,SVC,spec,50.0,50.0,50.0,50.0,50.0,0.1
125,MDD_ABIDE_4,SVC,com,51.3,51.2,51.2,51.3,50.8,0.1
126,MDD_ABIDE_4,SVC,com,44.6,44.5,44.5,42.0,39.8,0.1
