,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,MDD_ACPI_1,SVC,com,48.0,48.0,48.0,47.9,47.2,0.1
1,MDD_ACPI_1,SVC,com,44.0,44.0,44.0,43.6,43.2,0.1
2,MDD_ACPI_1,SVC,com,50.0,50.0,50.0,50.0,49.5,0.1
3,MDD_ACPI_1,SVC,com,49.0,49.2,49.2,49.1,48.6,0.1
4,MDD_ACPI_1,SVC,com,49.0,48.7,48.7,48.5,47.6,0.1
5,MDD_ACPI_1,SVC,com,48.0,48.0,48.0,47.9,47.2,0.2
6,MDD_ACPI_1,SVC,com,54.0,54.0,54.0,54.2,53.5,0.2
7,MDD_ACPI_1,SVC,com,48.0,48.0,48.0,47.9,47.7,0.2
8,MDD_ACPI_1,SVC,com,53.1,53.2,53.2,53.4,52.7,0.2
9,MDD_ACPI_1,SVC,com,57.1,56.8,56.8,57.5,56.0,0.2
10,MDD_ACPI_1,SVC,com,42.0,42.0,42.0,41.9,41.8,0.5
11,MDD_ACPI_1,SVC,com,42.0,42.0,42.0,41.7,41.4,0.5
12,MDD_ACPI_1,SVC,com,48.0,48.0,48.0,48.0,47.9,0.5
13,MDD_ACPI_1,SVC,com,55.1,55.2,55.2,55.2,55.1,0.5
14,MDD_ACPI_1,SVC,com,51.0,50.8,50.8,50.8,50.0,0.5
15,MDD_ACPI_1,SVC,com,40.0,40.0,40.0,39.9,39.9,1.0
16,MDD_ACPI_1,SVC,com,50.0,50.0,50.0,50.0,49.8,1.0
17,MDD_ACPI_1,SVC,com,46.0,46.0,46.0,45.9,45.8,1.0
18,MDD_ACPI_1,SVC,com,44.9,44.9,44.9,44.9,44.9,1.0
19,MDD_ACPI_1,SVC,com,53.1,52.9,52.9,53.0,52.7,1.0
20,MDD_ACPI_2,SVC,com,55.8,55.6,55.6,55.7,55.6,0.1
21,MDD_ACPI_2,SVC,com,49.0,49.1,49.1,49.1,49.0,0.1
22,MDD_ACPI_2,SVC,com,58.8,58.5,58.5,59.3,57.8,0.1
