,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,MDD_ACPI_1,SVC,spec,48.0,48.4,48.4,48.3,47.7,0.1
1,MDD_ACPI_1,SVC,spec,52.0,51.9,51.9,51.9,51.9,0.1
2,MDD_ACPI_1,SVC,spec,60.0,59.6,59.6,60.0,59.4,0.1
3,MDD_ACPI_1,SVC,spec,48.0,48.1,48.1,48.1,48.0,0.1
4,MDD_ACPI_1,SVC,spec,41.7,41.7,41.7,41.4,41.3,0.1
5,MDD_ACPI_1,SVC,com,60.0,61.2,61.2,67.5,56.6,0.1
6,MDD_ACPI_1,SVC,com,52.0,52.2,52.2,52.3,51.9,0.1
7,MDD_ACPI_1,SVC,com,60.0,60.6,60.6,61.5,59.4,0.1
8,MDD_ACPI_1,SVC,com,40.0,40.1,40.1,40.1,40.0,0.1
9,MDD_ACPI_1,SVC,com,50.0,50.0,50.0,50.0,43.8,0.1
10,MDD_ACPI_1,SVC,spec,64.0,64.1,64.1,64.1,64.0,0.2
11,MDD_ACPI_1,SVC,spec,44.0,43.9,43.9,43.9,43.9,0.2
12,MDD_ACPI_1,SVC,spec,48.0,47.4,47.4,47.2,46.6,0.2
13,MDD_ACPI_1,SVC,spec,44.0,44.2,44.2,44.2,43.9,0.2
14,MDD_ACPI_1,SVC,spec,58.3,58.3,58.3,58.6,58.0,0.2
15,MDD_ACPI_1,SVC,com,36.0,37.2,37.2,30.0,30.6,0.2
16,MDD_ACPI_1,SVC,com,60.0,59.9,59.9,59.9,59.9,0.2
17,MDD_ACPI_1,SVC,com,52.0,52.6,52.6,52.8,51.3,0.2
18,MDD_ACPI_1,SVC,com,48.0,48.1,48.1,48.1,48.0,0.2
19,MDD_ACPI_1,SVC,com,41.7,41.7,41.7,35.0,34.4,0.2
20,MDD_ACPI_1,SVC,spec,44.0,43.9,43.9,43.9,43.9,0.5
21,MDD_ACPI_1,SVC,spec,60.0,60.3,60.3,60.4,59.9,0.5
22,MDD_ACPI_1,SVC,spec,60.0,59.6,59.6,60.0,59.4,0.5
23,MDD_ACPI_1,SVC,spec,40.0,40.1,40.1,40.1,40.0,0.5
24,MDD_ACPI_1,SVC,spec,45.8,45.8,45.8,45.6,45.0,0.5
25,MDD_ACPI_1,SVC,com,56.0,56.7,56.7,57.7,54.8,0.5
26,MDD_ACPI_1,SVC,com,48.0,50.0,50.0,24.0,32.4,0.5
27,MDD_ACPI_1,SVC,com,40.0,40.7,40.7,39.3,38.4,0.5
28,MDD_ACPI_1,SVC,com,48.0,47.8,47.8,47.7,47.7,0.5
29,MDD_ACPI_1,SVC,com,45.8,45.8,45.8,40.5,37.0,0.5
30,MDD_ACPI_1,SVC,spec,52.0,52.2,52.2,52.3,51.9,1.0
31,MDD_ACPI_1,SVC,spec,52.0,52.2,52.2,52.3,51.9,1.0
32,MDD_ACPI_1,SVC,spec,52.0,51.6,51.6,51.7,51.3,1.0
33,MDD_ACPI_1,SVC,spec,52.0,51.9,51.9,51.9,51.9,1.0
34,MDD_ACPI_1,SVC,spec,45.8,45.8,45.8,45.6,45.0,1.0
35,MDD_ACPI_1,SVC,com,48.0,48.1,48.1,48.1,48.0,1.0
36,MDD_ACPI_1,SVC,com,44.0,45.5,45.5,39.4,35.7,1.0
37,MDD_ACPI_1,SVC,com,20.0,20.5,20.5,18.1,18.8,1.0
38,MDD_ACPI_1,SVC,com,48.0,48.1,48.1,48.1,48.0,1.0
39,MDD_ACPI_1,SVC,com,54.2,54.2,54.2,54.4,53.4,1.0
40,MDD_ACPI_2,SVC,spec,28.0,27.9,27.9,27.9,27.9,0.1
41,MDD_ACPI_2,SVC,spec,68.0,68.3,68.3,68.5,67.9,0.1
42,MDD_ACPI_2,SVC,spec,60.0,60.3,60.3,60.4,59.9,0.1
43,MDD_ACPI_2,SVC,spec,60.0,59.9,59.9,59.9,59.9,0.1
44,MDD_ACPI_2,SVC,spec,37.5,37.5,37.5,37.4,37.4,0.1
