,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,MULTI_1,SVC,com,42.1,42.1,42.1,41.9,41.7,0.1
1,MULTI_1,SVC,com,37.3,37.5,37.5,36.5,36.2,0.1
2,MULTI_1,SVC,com,45.3,45.4,45.4,45.3,45.2,0.1
3,MULTI_1,SVC,com,48.0,47.9,47.9,47.8,47.4,0.1
4,MULTI_1,SVC,com,48.0,47.9,47.9,47.9,47.7,0.1
5,MULTI_1,SVC,com,57.9,57.9,57.9,58.0,57.8,0.2
6,MULTI_1,SVC,com,45.3,45.5,45.5,45.2,44.7,0.2
7,MULTI_1,SVC,com,49.3,49.4,49.4,49.4,49.3,0.2
8,MULTI_1,SVC,com,46.7,46.6,46.6,46.4,46.2,0.2
9,MULTI_1,SVC,com,54.7,54.6,54.6,54.7,54.5,0.2
10,MULTI_1,SVC,com,44.7,44.7,44.7,44.7,44.7,0.5
11,MULTI_1,SVC,com,45.3,45.4,45.4,45.4,45.3,0.5
12,MULTI_1,SVC,com,45.3,45.3,45.3,45.3,45.3,0.5
13,MULTI_1,SVC,com,49.3,49.3,49.3,49.3,49.3,0.5
14,MULTI_1,SVC,com,49.3,49.3,49.3,49.3,49.3,0.5
15,MULTI_1,SVC,com,51.3,51.3,51.3,51.3,51.3,1.0
16,MULTI_1,SVC,com,64.0,64.0,64.0,64.1,64.0,1.0
17,MULTI_1,SVC,com,50.7,50.7,50.7,50.7,50.7,1.0
18,MULTI_1,SVC,com,46.7,46.6,46.6,46.6,46.6,1.0
19,MULTI_1,SVC,com,42.7,42.6,42.6,42.6,42.6,1.0
20,MULTI_2,SVC,com,42.1,42.1,42.1,42.1,42.1,0.1
21,MULTI_2,SVC,com,39.5,39.5,39.5,39.5,39.5,0.1
22,MULTI_2,SVC,com,48.7,48.7,48.7,48.7,48.7,0.1
23,MULTI_2,SVC,com,48.7,48.7,48.7,48.7,48.7,0.1
24,MULTI_2,SVC,com,50.0,50.0,50.0,50.0,50.0,0.1
25,MULTI_2,SVC,com,43.4,43.4,43.4,43.4,43.4,0.2
26,MULTI_2,SVC,com,52.6,52.6,52.6,52.6,52.6,0.2
27,MULTI_2,SVC,com,53.9,54.0,54.0,53.9,53.9,0.2
28,MULTI_2,SVC,com,46.1,46.0,46.0,46.1,46.0,0.2
29,MULTI_2,SVC,com,55.3,55.2,55.2,55.2,55.2,0.2
30,MULTI_2,SVC,com,60.5,60.5,60.5,60.5,60.5,0.5
31,MULTI_2,SVC,com,42.1,42.1,42.1,42.1,42.1,0.5
32,MULTI_2,SVC,com,53.9,54.0,54.0,53.9,53.9,0.5
33,MULTI_2,SVC,com,51.3,51.3,51.3,51.3,51.3,0.5
34,MULTI_2,SVC,com,57.9,57.9,57.9,57.9,57.9,0.5
35,MULTI_2,SVC,com,46.1,46.1,46.1,46.0,46.0,1.0
36,MULTI_2,SVC,com,47.4,47.4,47.4,47.4,47.4,1.0
37,MULTI_2,SVC,com,43.4,43.4,43.4,43.4,43.4,1.0
38,MULTI_2,SVC,com,43.4,43.4,43.4,43.4,43.4,1.0
39,MULTI_2,SVC,com,55.3,55.3,55.3,55.3,55.3,1.0
40,MULTI_3,SVC,com,46.1,46.0,46.0,46.0,46.0,0.1
41,MULTI_3,SVC,com,44.7,44.7,44.7,44.7,44.7,0.1
42,MULTI_3,SVC,com,57.3,57.3,57.3,57.3,57.3,0.1
43,MULTI_3,SVC,com,46.7,46.6,46.6,46.6,46.6,0.1
44,MULTI_3,SVC,com,56.0,56.0,56.0,56.0,56.0,0.1
45,MULTI_3,SVC,com,48.7,48.6,48.6,48.6,48.6,0.2
46,MULTI_3,SVC,com,44.7,44.7,44.7,44.7,44.7,0.2
47,MULTI_3,SVC,com,52.0,52.0,52.0,52.0,52.0,0.2
48,MULTI_3,SVC,com,46.7,46.6,46.6,46.6,46.6,0.2
49,MULTI_3,SVC,com,45.3,45.3,45.3,45.3,45.3,0.2
50,MULTI_3,SVC,com,48.7,48.6,48.6,48.6,48.6,0.5
51,MULTI_3,SVC,com,50.0,50.0,50.0,50.0,50.0,0.5
52,MULTI_3,SVC,com,54.7,54.7,54.7,54.7,54.7,0.5
53,MULTI_3,SVC,com,52.0,52.0,52.0,52.0,51.9,0.5
54,MULTI_3,SVC,com,37.3,37.3,37.3,37.3,37.3,0.5
55,MULTI_3,SVC,com,48.7,48.6,48.6,48.6,48.6,1.0
56,MULTI_3,SVC,com,50.0,50.0,50.0,50.0,50.0,1.0
57,MULTI_3,SVC,com,44.0,44.0,44.0,44.0,44.0,1.0
58,MULTI_3,SVC,com,62.7,62.6,62.6,62.7,62.6,1.0
59,MULTI_3,SVC,com,48.0,48.0,48.0,48.0,48.0,1.0
60,MULTI_4,SVC,com,46.7,46.7,46.7,46.7,46.7,0.1
61,MULTI_4,SVC,com,48.0,48.0,48.0,48.0,48.0,0.1
62,MULTI_4,SVC,com,37.8,37.8,37.8,37.8,37.8,0.1
63,MULTI_4,SVC,com,45.9,45.9,45.9,45.9,45.9,0.1
64,MULTI_4,SVC,com,48.6,48.6,48.6,48.6,48.6,0.1
65,MULTI_4,SVC,com,46.7,46.7,46.7,46.7,46.7,0.2
66,MULTI_4,SVC,com,45.3,45.3,45.3,45.3,45.3,0.2
67,MULTI_4,SVC,com,51.4,51.4,51.4,51.4,51.4,0.2
68,MULTI_4,SVC,com,43.2,43.2,43.2,43.2,43.2,0.2
69,MULTI_4,SVC,com,50.0,50.0,50.0,50.0,50.0,0.2
70,MULTI_4,SVC,com,49.3,49.3,49.3,49.3,49.3,0.5
71,MULTI_4,SVC,com,42.7,42.7,42.7,42.7,42.7,0.5
72,MULTI_4,SVC,com,51.4,51.4,51.4,51.4,51.4,0.5
73,MULTI_4,SVC,com,43.2,43.2,43.2,43.2,43.2,0.5
74,MULTI_4,SVC,com,47.3,47.3,47.3,47.3,47.3,0.5
75,MULTI_4,SVC,com,46.7,46.7,46.7,46.7,46.7,1.0
76,MULTI_4,SVC,com,53.3,53.3,53.3,53.3,53.3,1.0
77,MULTI_4,SVC,com,40.5,40.5,40.5,40.5,40.5,1.0
78,MULTI_4,SVC,com,48.6,48.6,48.6,48.6,48.6,1.0
79,MULTI_4,SVC,com,55.4,55.4,55.4,55.4,55.4,1.0
80,MULTI_5,SVC,com,56.0,56.0,56.0,56.1,56.0,0.1
81,MULTI_5,SVC,com,52.0,52.1,52.1,52.1,51.9,0.1
82,MULTI_5,SVC,com,50.7,50.7,50.7,50.7,50.6,0.1
83,MULTI_5,SVC,com,53.3,53.3,53.3,53.3,53.3,0.1
84,MULTI_5,SVC,com,48.6,48.6,48.6,48.6,48.6,0.1
85,MULTI_5,SVC,com,42.7,42.7,42.7,42.7,42.6,0.2
86,MULTI_5,SVC,com,58.7,58.8,58.8,59.1,58.4,0.2
87,MULTI_5,SVC,com,54.7,54.7,54.7,54.8,54.6,0.2
88,MULTI_5,SVC,com,57.3,57.3,57.3,57.3,57.3,0.2
89,MULTI_5,SVC,com,55.4,55.4,55.4,55.4,55.3,0.2
90,MULTI_5,SVC,com,53.3,53.4,53.4,53.4,53.3,0.5
91,MULTI_5,SVC,com,58.7,58.7,58.7,58.9,58.5,0.5
92,MULTI_5,SVC,com,57.3,57.4,57.4,57.5,57.3,0.5
93,MULTI_5,SVC,com,52.0,52.0,52.0,52.0,51.9,0.5
94,MULTI_5,SVC,com,55.4,55.4,55.4,55.4,55.3,0.5
95,MULTI_5,SVC,com,46.7,46.7,46.7,46.7,46.6,1.0
96,MULTI_5,SVC,com,53.3,53.4,53.4,53.5,53.2,1.0
97,MULTI_5,SVC,com,44.0,44.1,44.1,44.0,43.9,1.0
98,MULTI_5,SVC,com,42.7,42.6,42.6,42.5,42.5,1.0
99,MULTI_5,SVC,com,44.6,44.6,44.6,44.6,44.5,1.0
100,MULTI_6,SVC,com,44.2,44.2,44.2,44.2,44.0,0.1
101,MULTI_6,SVC,com,53.2,53.2,53.2,53.2,53.0,0.1
102,MULTI_6,SVC,com,49.4,49.3,49.3,49.3,49.2,0.1
103,MULTI_6,SVC,com,50.0,50.0,50.0,50.0,50.0,0.1
104,MULTI_6,SVC,com,40.8,40.8,40.8,40.7,40.7,0.1
105,MULTI_6,SVC,com,54.5,54.6,54.6,54.7,54.4,0.2
106,MULTI_6,SVC,com,59.7,59.6,59.6,59.8,59.5,0.2
107,MULTI_6,SVC,com,48.1,48.0,48.0,47.9,47.8,0.2
108,MULTI_6,SVC,com,57.9,57.9,57.9,57.9,57.9,0.2
109,MULTI_6,SVC,com,42.1,42.1,42.1,42.0,41.9,0.2
110,MULTI_6,SVC,com,53.2,53.3,53.3,53.3,53.2,0.5
111,MULTI_6,SVC,com,50.6,50.6,50.6,50.6,50.4,0.5
112,MULTI_6,SVC,com,53.2,53.2,53.2,53.2,53.0,0.5
113,MULTI_6,SVC,com,48.7,48.7,48.7,48.7,48.7,0.5
114,MULTI_6,SVC,com,55.3,55.3,55.3,55.3,55.1,0.5
115,MULTI_6,SVC,com,45.5,45.5,45.5,45.5,45.4,1.0
116,MULTI_6,SVC,com,40.3,40.2,40.2,40.0,40.0,1.0
117,MULTI_6,SVC,com,54.5,54.5,54.5,54.5,54.3,1.0
118,MULTI_6,SVC,com,51.3,51.3,51.3,51.3,51.3,1.0
119,MULTI_6,SVC,com,44.7,44.7,44.7,44.7,44.6,1.0
120,MULTI_7,SVC,com,50.6,50.6,50.6,50.6,50.6,0.1
121,MULTI_7,SVC,com,55.3,55.2,55.2,55.2,55.2,0.1
122,MULTI_7,SVC,com,44.7,44.7,44.7,44.7,44.7,0.1
123,MULTI_7,SVC,com,47.4,47.4,47.4,47.4,47.4,0.1
124,MULTI_7,SVC,com,50.0,50.0,50.0,50.0,50.0,0.1
125,MULTI_7,SVC,com,45.5,45.4,45.4,45.4,45.4,0.2
126,MULTI_7,SVC,com,47.4,47.3,47.3,47.3,47.3,0.2
127,MULTI_7,SVC,com,50.0,50.0,50.0,50.0,50.0,0.2
128,MULTI_7,SVC,com,42.1,42.1,42.1,42.1,42.1,0.2
129,MULTI_7,SVC,com,44.7,44.7,44.7,44.7,44.7,0.2
130,MULTI_7,SVC,com,53.2,53.2,53.2,53.2,53.2,0.5
131,MULTI_7,SVC,com,52.6,52.6,52.6,52.6,52.6,0.5
132,MULTI_7,SVC,com,39.5,39.5,39.5,39.5,39.5,0.5
133,MULTI_7,SVC,com,50.0,50.0,50.0,50.0,50.0,0.5
134,MULTI_7,SVC,com,47.4,47.4,47.4,47.4,47.4,0.5
135,MULTI_7,SVC,com,50.6,50.6,50.6,50.6,50.6,1.0
136,MULTI_7,SVC,com,57.9,57.9,57.9,57.9,57.9,1.0
137,MULTI_7,SVC,com,42.1,42.1,42.1,42.1,42.1,1.0
138,MULTI_7,SVC,com,50.0,50.0,50.0,50.0,50.0,1.0
139,MULTI_7,SVC,com,47.4,47.4,47.4,47.4,47.4,1.0
140,MULTI_8,SVC,com,46.7,46.7,46.7,46.7,46.7,0.1
141,MULTI_8,SVC,com,40.0,40.0,40.0,40.0,40.0,0.1
142,MULTI_8,SVC,com,36.0,36.0,36.0,36.0,36.0,0.1
143,MULTI_8,SVC,com,46.7,46.7,46.7,46.7,46.7,0.1
144,MULTI_8,SVC,com,46.7,46.7,46.7,46.7,46.7,0.1
145,MULTI_8,SVC,com,44.0,44.0,44.0,44.0,44.0,0.2
146,MULTI_8,SVC,com,48.0,48.0,48.0,48.0,48.0,0.2
147,MULTI_8,SVC,com,46.7,46.7,46.7,46.7,46.7,0.2
148,MULTI_8,SVC,com,54.7,54.7,54.7,54.7,54.7,0.2
149,MULTI_8,SVC,com,57.3,57.3,57.3,57.3,57.3,0.2
150,MULTI_8,SVC,com,49.3,49.3,49.3,49.3,49.3,0.5
151,MULTI_8,SVC,com,48.0,48.0,48.0,48.0,48.0,0.5
152,MULTI_8,SVC,com,52.0,52.0,52.0,52.0,52.0,0.5
153,MULTI_8,SVC,com,54.7,54.7,54.7,54.7,54.7,0.5
154,MULTI_8,SVC,com,46.7,46.7,46.7,46.7,46.7,0.5
155,MULTI_8,SVC,com,49.3,49.3,49.3,49.3,49.3,1.0
