,DataType,Estimator,RD,ACC,ACC_std,SEN,SEN_std,SPEC,SPEC_std,PREC,PREC_std,F1,F1_std,scale
0,MULTI_1,SVC,spec,65.4,7.4,65.3,7.4,65.3,7.4,68.6,8.8,64.9,7.2,0.1
1,MULTI_1,SVC,com,37.2,5.4,37.5,5.3,37.5,5.3,37.8,8.6,31.5,8.4,0.1
2,MULTI_1,SVC,spec,65.9,4.1,65.9,4.2,65.9,4.2,67.8,4.4,65.8,4.0,0.2
3,MULTI_1,SVC,com,34.0,5.2,34.2,5.1,34.2,5.1,41.7,9.0,30.2,3.6,0.2
4,MULTI_1,SVC,spec,69.7,3.3,69.7,3.2,69.7,3.2,70.8,3.7,69.5,3.4,0.5
5,MULTI_1,SVC,com,37.2,5.6,37.4,5.6,37.4,5.6,42.5,7.8,34.9,6.7,0.5
6,MULTI_1,SVC,spec,69.1,3.7,69.1,3.6,69.1,3.6,72.5,3.3,68.1,4.4,1.0
7,MULTI_1,SVC,com,45.2,5.2,45.3,5.2,45.3,5.2,44.6,6.3,42.5,7.4,1.0
8,MULTI_2,SVC,spec,68.0,7.7,68.2,7.4,68.2,7.4,70.4,4.9,67.7,7.0,0.1
9,MULTI_2,SVC,com,29.5,7.2,29.9,7.2,29.9,7.2,30.5,3.9,26.2,6.9,0.1
10,MULTI_2,SVC,spec,73.3,6.6,73.5,6.5,73.5,6.5,74.1,5.3,72.8,6.7,0.2
11,MULTI_2,SVC,com,31.1,7.8,31.2,7.6,31.2,7.6,38.1,12.0,27.4,6.8,0.2
12,MULTI_2,SVC,spec,75.4,6.7,75.5,6.4,75.5,6.4,77.5,6.3,75.0,6.1,0.5
13,MULTI_2,SVC,com,38.5,6.0,38.6,6.1,38.6,6.1,39.1,6.2,37.9,5.7,0.5
14,MULTI_2,SVC,spec,76.5,4.4,76.5,4.1,76.5,4.1,79.0,1.9,76.5,3.9,1.0
15,MULTI_2,SVC,com,36.3,4.4,36.4,4.6,36.4,4.6,40.3,9.0,34.8,3.8,1.0
16,MULTI_3,SVC,spec,69.1,5.5,69.1,5.4,69.1,5.4,71.6,6.5,68.5,5.8,0.1
